Time (s), RSSI (dBm)
12.71, -24
12.73, -22
35.22, -22
35.24, -26
35.49, -22
45.32, -34
75.51, -40
99.07, -57
105.51, -46
105.59, -44
115.54, -50
115.68, -52
135.58, -54
135.59, -56
135.68, -52
135.79, -54
145.61, -84
145.74, -48
155.63, -54
155.75, -48
155.77, -48
156.07, -46
156.16, -54
175.69, -54
185.89, -52
195.73, -34
195.75, -34
196.09, -44
205.77, -36
215.84, -26
215.86, -26
215.94, -30
215.96, -30
225.89, -14
225.97, -18
225.99, -18
235.80, -16
235.90, -20
235.92, -18
236.00, -20
236.02, -20
245.82, -18
245.93, -24
245.95, -24
246.03, -28
246.05, -28

Average RSSI: -36.28260869565217
